paragraph_idx,page,entity1_name,entity2_name,similarity,should_merge,confidence,reasoning
2,318,Rome,Europe,0.6257713257068854,False,0.9,These are different places: one is the city of Rome (a specific city founded in 753 BC) and the other is Europe (a continent/region). They are related historically (Rome shaped European civilization) but are not the same entity.
3,318,Italy,Europe,0.6458304815513101,False,0.9,"Italy (a peninsula/region) and Europe (a continent) are distinct geographical entities: Italy is a part of Europe, not the same entity. Descriptions indicate different scales and referents (peninsula where Etruscans lived vs the continent embraced by Roman-shaped civilization). They should not be merged."
3,318,Etruscan civilization,Etruscans,0.6432087738083277,True,0.92,"Both entries refer to the same subject: the people known as the Etruscans and their civilization. 'Etruscan civilization' names the cultural/political entity while 'Etruscans' names the people; these are not distinct historical entities but two forms of referring to the same group and culture with shared descriptions about origins, chronology, and archaeological record."
3,318,Asia,Europe,0.6354342843668906,False,0.9,The two entities are different continent/place regions: 'Asia' and 'Europe' refer to distinct geographical regions. Their descriptions relate to different historical contexts (origin of Etruscan immigrants vs. civilization shaped by Romans) but do not indicate they are the same entity.
3,318,Hittite empire,Roman Empire,0.6337151794139414,False,0.9,"The Hittite Empire and the Roman Empire are distinct historical states from different regions and periods. They are not the same entity and should not be merged—one is an Anatolian Bronze Age empire (Hittites), the other is the later Mediterranean/European Roman state/empire."
4,318,Etruria,Italy,0.7999715054740217,False,0.9,Etruria is a specific region within the Italian peninsula inhabited by the Etruscans; Italy refers to the whole peninsula. They are related (Etruria is part of Italy) but not identical.
4,318,Etruria,Etruscans,0.682712433417833,False,0.95,"Etruria is a place/region where the Etruscans (a people/collective) lived. They are related but distinct: one is a geographic region, the other a people/culture. Not identical."
4,318,Etruria,Asia,0.6474871972795921,False,0.95,"Etruria is the region in central Italy inhabited by the Etruscans. Asia is a separate, much larger continent/region proposed as a possible origin of some Etruscan immigrants. They are distinct geographical entities and not the same historical entity."
4,318,Elba,Italy,0.6451331252670174,False,0.91,Elba is a specific island off the coast of Etruria noted for iron deposits; Italy refers to the whole peninsula where the Etruscans lived. They are related geographically (Elba is part of Italy) but are distinct places and not the same entity.
4,318,Etruria,Europe,0.627239301783786,False,0.9,"Etruria is a specific region in central Italy inhabited by the Etruscans and governing a league of cities. Europe is the entire continent that centuries later included areas shaped by Rome; it is a much larger, distinct geographical entity. They are related (Etruria is located within Europe) but are not the same entity."
