paragraph_idx,page,entity1_name,entity2_name,cosine_similarity,levenshtein_similarity,should_merge,confidence,reasoning
3,318,Etruscan civilization,Etruscans,0.7319662584856154,0.38095238095238093,True,0.88,Both entries refer to the same historical referent: the Etruscan people and the culture/civilization they produced. 'Etruscan civilization' names the cultural-political entity while 'Etruscans' names the people; these are not distinct individuals or organizations but two ways of referring to the same historical entity (the Etruscan people/culture).
4,318,Etruria,Italy,0.763911823159257,0.1428571428571429,False,0.9,Etruria is a specific region inhabited and governed by the Etruscans (a loose league of cities). Italy is the entire peninsula/country where Etruria was located. They are related (Etruria is part of Italy) but not identical.
4,318,Etruria,Etruscans,0.6990697132048477,0.5555555555555556,False,0.9,"Etruria is a place/region governed by the Etruscans; Etruscans are the people/civilization. They are closely related but not the same type of entity — one is a geographic/political region, the other is the population/culture. They should not be merged."
4,318,Etruria,Etruscans,0.6977374633092478,0.2857142857142857,False,0.9,Etruria is a region/place (the land inhabited/ruled by the Etruscans). Etruscans are the people/civilization. These are closely related but are distinct entity types (place vs people/civilization) and therefore should not be merged.
4,318,Etruria,Asia,0.6502062972112178,0.2857142857142857,False,0.95,Etruria is a region in Italy governed by the Etruscans; Asia is a large continent suggested as a possible origin of some Etruscan immigrants. They are distinct geographic entities and not the same entity.
5,319,Latin peoples,Etruscans,0.7527915745207006,0.15384615384615385,False,0.9,"The two entities refer to distinct groups: 'Latin peoples' denotes the Italic group (Latins) who lived in Latium and later formed Roman society, while 'Etruscans' are a separate pre‑Roman people/civilization in ancient Italy. They are related historically (conflict and interaction) but are not the same entity, so they should not be merged."
6,321,Etruscan,Etruscans,0.7803973004648186,0.38095238095238093,True,0.88,"Both entries clearly refer to the same subject: the Etruscan people/civilization. Entity 1 (labelled singular 'Etruscan') is a cultural reference, while Entity 2 explicitly names the Etruscans as a pre-Roman people and civilization. These are not distinct historical entities but two surface forms for the same group/culture."
6,321,Etruscans,Villanovan culture,0.6629334164608628,0.19999999999999996,False,0.86,"The Etruscans (a pre-Roman people and their civilization) and the Villanovan culture (an earlier archaeological culture in Italy that is considered a predecessor or formative phase of the Etruscan civilization) are related but not identical. The Villanovan culture is a distinct archaeological culture, not simply another name for the Etruscan people/civilization, so they should not be merged."
6,321,Etruscans,Etruria,0.6603548209197307,0.625,False,0.9,"Etruscans (a people/civilization) and Etruria (the region governed by them) are closely related but are different kinds of entities: one is a collective people/civilization, the other is a geographic/political region. They are not identical and should not be merged."
6,321,Greek influence,Greek civilization,0.6575237648701026,0.4444444444444444,False,0.79,"Entity 1 refers to an abstract phenomenon — the influence exerted by Greek culture. Entity 2 refers to the Greek civilization itself (a distinct cultural/political civilization). These are related but not identical: one is the civilization, the other is the cultural influence that civilization produced or spread. They should not be merged."
7,321,Roman republic,Roman Empire,0.7326738903171187,0.5,False,0.97,"The Roman Republic and the Roman Empire are successive but distinct forms of Roman state organization. The Republic (c. 509–27 BCE, lasting ~450 years) refers to the earlier republican government; the Roman Empire refers to the later imperial state spanning much of the Mediterranean and beyond. They are closely related historically but are not strictly the same entity, so they should not be merged."
7,321,Romans,Etruscans,0.7098415528033862,0.4444444444444444,False,0.95,"The Romans and the Etruscans are distinct ancient peoples/civilizations. The Etruscans were a pre-Roman civilization that influenced early Rome, but they are not the same group as the Romans, who are the people of Rome. They should not be merged."
7,321,Roman Mediterranean,Europe,0.7071843892814109,0.1578947368421053,False,0.87,"These two refer to different scopes. ""Roman Mediterranean"" denotes the Mediterranean region under Roman control or shaped by Roman institutions — a geopolitical/sea-region concept tied specifically to Rome. ""Europe"" is the continent/region more broadly; while the description links Europe to Roman influence, Europe is not identical to the Roman Mediterranean. They are related (Roman Mediterranean is a subset/part of Europe and surrounding areas) but not the same entity, so they should not be merged."
7,321,Roman Mediterranean,Rome,0.6894438873441547,0.21052631578947367,False,0.9,"The first entity is a region—the Roman Mediterranean, a geopolitical/geographical area made possible by Rome’s institutions. The second is the city of Rome (also used to refer to the Roman state/empire in some descriptions). These are related but not identical: one is a region produced by Roman power, the other is the city (and occasionally metonymically the state). They should not be merged because they are different place types (region vs city) and represent distinct entities."
7,321,Greece,Europe,0.6751493758262481,0.16666666666666663,False,0.9,Greece and Europe are distinct geographical entities: Greece is a region/country within the continent of Europe. The descriptions indicate related but not identical referents (Greece influenced later men via Rome; Europe is the continent embraced/shaped by Rome). They should not be merged.
7,321,Romans,Latin peoples,0.6664513934042118,0.15384615384615385,False,0.86,"The 'Romans' refers specifically to the people of Rome, whereas the 'Latin peoples' refers more broadly to the various Latin-speaking communities of Latium (including but not limited to Rome). They are related—Romans are one of the Latin peoples historically—but they are not strictly identical entities. The descriptions show different roles: Romans as citizens of Rome valuing continuity, Latin peoples as groups that challenged Etruscan power and dispersed. Therefore they should not be merged."
7,321,Roman Mediterranean,Roman Empire,0.6658119439184986,0.4736842105263158,False,0.9,"The two entities refer to related but distinct concepts. ""Roman Mediterranean"" denotes a geographical region shaped by Rome's institutions (a maritime/regional concept), while ""Roman Empire"" denotes the political/state entity (the imperial polity controlling many territories). They overlap spatially and conceptually but are not strictly identical."
7,321,Roman Mediterranean,Campania,0.6633133220882226,0.26315789473684215,False,0.9,"'Roman Mediterranean' is a broad region defined by Rome's institutions and influence across the Mediterranean; 'Campania' is a specific region in Italy associated with the Latins. They are related (Campania lies within the Roman Mediterranean sphere) but are not the same geographical entity or scope, so they should not be merged."
9,322,Roman People,Romans,0.7514720734163566,0.41666666666666663,True,0.88,"Both entries describe the same collective group: the citizens/people of Rome. 'Roman People' and 'Romans' are equivalent references to the people of Rome (a collective_entity, people). Their descriptions are complementary (one notes legal sovereignty exercised through assemblies, the other notes cultural/political values). No evidence they refer to different subgroups or time periods."
9,322,Romans,Roman Empire,0.6816761720651934,0.6666666666666667,False,0.83,"These refer to different kinds of entities: one is the people/citizen body of Rome (Romans), the other is the political/military state/entity (Roman Empire). They are closely related but not strictly identical: the population ('Romans') is distinct from the imperial state ('Roman Empire'). Therefore they should not be merged."
9,322,Roman Senate,Roman republic,0.6699203981643111,0.5,False,0.86,"The Roman Senate is an institution (legislative/advisory body) within the political system called the Roman Republic. They are related but distinct: one is an organization (Senate), the other is a state/political period (Roman Republic). They are not the same entity and should not be merged."
9,322,Romans,Roman republic,0.662259325236345,0.5714285714285714,False,0.9,"The two entities refer to related but distinct concepts: one is the civic body/people of Rome (Romans), the other is the Roman Republic as a political state/institution lasting ~450+ years. They are not strictly identical — the people (Romans) are a population/cultural collective, while the Roman Republic is the political state ruled by those people’s institutions. Therefore they should not be merged."
11,322,Roman ruling élite,Romans,0.7376228611206805,0.2777777777777778,False,0.86,"The 'Roman ruling élite' (a cohesive, competent governing class selected through constitutional offices) is a subset/segment of the broader collective 'Romans' (the people/citizen body who hold sovereignty). They describe different scopes: one is the governing elite/group within Roman society, the other is the entire Roman people/citizenry. They are related but not identical, so should not be merged."
11,322,Roman ruling élite,Romans,0.7197626287008578,0.4444444444444444,False,0.9,"The first refers specifically to the ruling elite (the class of office-holders and elite governing group) while the second refers broadly to the Romans — the people/citizen body of Rome. These are related but distinct: the ruling elite is a subset/segment of the Roman people, not identical to the whole populace or civic body. Therefore they should not be merged."
11,322,Roman ruling élite,Roman Senate,0.6894853201552527,0.5,False,0.85,"The 'Roman ruling élite' is a generic description of the social/political elite that governed Rome, while the 'Roman Senate' is a specific institutional body through which political leadership was exercised. The Senate is a concrete organization that included magistrates and managed legislation and governance; the ruling elite describes the class of people (many of whom sat in the Senate) rather than a single formal organization. They are closely related but not identical."
12,323,Roman society,Romans,0.7866887643010907,0.46153846153846156,True,0.9,Both mentions refer to the same collective: the people/civic body and social order of Rome during the republican period. 'Roman society' is a description of that society; 'Romans' names the people themselves. They are not distinct entities in this context and should be merged.
12,323,Romans,Roman republic,0.7402209181156734,0.4285714285714286,False,0.86,The two referents are related but not identical: one denotes the Roman people/society (a social collective) while the other denotes the Roman Republic as a political state/institution. They are distinct types (people vs state) and the descriptions emphasize different aspects (social order vs political entity/duration). Therefore they should not be merged.
12,323,Romans,Roman ruling élite,0.7341988402158135,0.4444444444444444,False,0.9,"The two entities refer to overlapping but distinct concepts: 'Romans' denotes the Roman people and broader society/citizen body, while 'Roman ruling élite' denotes a subset (the elite class who held office). They are related but not identical—one is the whole populace/civic body, the other a specific social/political group within it. Therefore they should not be merged."
12,323,Romans,Roman Senate,0.7267856609094487,0.6153846153846154,False,0.83,"The two entities refer to different concepts: 'Romans' denotes the people/society of Rome (a population/civic body), while the 'Roman Senate' is a specific political institution/organization within that society. They are related (Senate is an organ of Roman society) but not identical."
12,323,Romans,Roman Empire,0.6951178842494707,0.5384615384615384,False,0.83,"The first entity refers to the Roman people/society (a social collective during the Republican period). The second refers to the Roman Empire (a political state/imperial polity). These are related but distinct: one is a population/society, the other is a state/political entity covering different territory and period. They are not the same entity and should not be merged."
13,323,early republic,Roman republic,0.7680342657356656,0.6428571428571428,True,0.86,"Both entries clearly refer to the same political entity: the Roman Republic. ""early republic"" describes the early period of that same state, while ""Roman republic"" is the canonical name and includes duration. They are not distinct entities but the same state (with one mention emphasizing the early period)."
13,323,Roman Republic,Romans,0.6992871595530348,0.0714285714285714,False,0.88,"These refer to related but distinct entities: one is the political state/institution (Roman Republic) and the other is the people/society of Rome during the republican period (Romans). They are not strictly identical — one denotes a state/political structure, the other denotes the population/social body — so they should not be merged."
13,323,Roman Republic,Romans,0.6830727048899765,0.0714285714285714,False,0.88,"These refer to distinct but related concepts: one is the political state/institutions (Roman Republic) and the other is the people/social body (Romans) of that period. They are not strictly identical entities (state vs people/society), so they should not be merged."
13,323,Roman Republic,Roman Empire,0.6796483797024312,0.1428571428571429,False,0.9,"The Roman Republic and the Roman Empire are distinct political regimes/periods in Roman history: the Republic refers to the earlier republican institutions lasting ~450+ years, while the Empire refers to the later imperial autocracy that controlled a much larger territorial extent. They are related but not identical, so they should not be merged."
13,323,slaves,plebs,0.67548358708163,0.33333333333333337,False,0.98,"'slaves' (enslaved people) and 'plebs' (plebeians/common free people) refer to different social groups in historical societies—one denotes unfree enslaved persons, the other denotes free commoners/working-class citizens (specifically in Roman context). They are related socially but not identical."
13,323,proletarii,plebs,0.6629795302941505,0.30000000000000004,False,0.9,"Both terms refer to classes of common people in Roman society but are not strictly identical. 'Proletarii' is a specific census category in Roman social structure (those of lowest property class, whose main contribution was offspring), while 'plebs' (plebeians) denotes the broader political/social group of commoners distinct from the patriciate and evolving over time. They overlap but are different concepts and should not be merged."
13,323,Roman Republic,Roman Senate,0.6513283155961896,0.1428571428571429,False,0.86,"The Roman Republic is the state/political system; the Roman Senate is an institution/organization within that state. They are related but distinct entities (state vs governing body), so they should not be merged."
15,324,consuls,Two consuls,0.8570462875475071,0.6363636363636364,True,0.9,"Both entries describe the same institutional office in early Rome — the pair of consuls who replaced the kings, served one-year terms, and were the chief magistrates (with one required to be plebeian after 366 BC). The two labels are just wording variants of the same collective entity."
15,324,Consuls,praetors,0.7440132301841819,0.125,False,0.9,"Consuls and praetors are distinct Roman magistracies with different ranks, roles, and functions. Consuls were the two chief magistrates; praetors were subordinate elected officers below consuls. They are related but not the same entity and should not be merged."
15,324,Consuls,quaestors,0.7436037678093277,0.2222222222222222,False,0.9,"'Consuls' are the two chief magistrates of the Roman Republic; 'quaestors' are a distinct, subordinate elected office (financial officers) who automatically became senators. They are different offices/organizations and not the same entity."
15,324,magistrates,quaestors,0.7120339239391804,0.2727272727272727,False,0.84,"'Magistrates' is a general term for Roman officials; 'quaestors' are a specific type of magistrate (subordinate elected officers). They are related (quaestors are magistrates) but not identical, so should not be merged."
15,324,magistrates,praetors,0.6820716693888413,0.18181818181818177,False,0.9,'Magistrates' is a broad category of public officials in Roman/other contexts; 'praetors' are a specific type of magistrate (subordinate elected officers). They are related (praetors are magistrates) but not identical.
15,324,magistrates,plebs,0.6792459349897898,0.18181818181818177,False,0.8,"The two entities refer to distinct social groups/collective types in Roman society: 'magistrates' are officials (an office-holding organization/collective of rulers), whereas 'plebs' (plebeians) are the common people who could limit magistrates' powers. They are related (one could check or restrict the other) but are not the same entity and should not be merged."
15,324,Consuls,Roman Senate,0.6540735988153701,0.25,False,0.86,"The two entities refer to different institutions: 'Consuls' are the two chief magistrates (office-holders), while 'Roman Senate' is the governing body through which consuls ruled. They are closely related but not the same organization or role, so they should not be merged."
