paragraph_idx,page,entity1_name,entity2_name,cosine_similarity,levenshtein_similarity,should_merge,confidence,reasoning
3,318,Etruscan civilization,Greek civilization,0.5723634489690889,0.6666666666666667,False,0.91,"Etruscan civilization and Greek civilization are distinct cultural entities with different origins, histories, and identities. They are related historically (interaction with Rome and each other) but are not the same entity and should not be merged."
6,321,Etruscan,Etruscans,0.8254728730387084,0.8888888888888888,True,0.9,"Both entries clearly refer to the same collective people: the Etruscan(s) who inhabited and influenced early Rome. The names differ only in singular vs. plural and the descriptions and attributes (literacy from a Greek-derived alphabet, loose league of city-kings, dominance in early Rome, archaeological record) all describe the same historical group."
6,321,Etruscans,Etruria,0.6734131183264941,0.625,False,0.9,"One entity is a people (Etruscans) and the other is a region (Etruria). They are closely related (the Etruscans inhabited Etruria), but they are different types (collective people vs place/region). Therefore they should not be merged."
7,321,Greece,Greek,0.49591456662108485,0.6666666666666667,False,0.9,"The first entity is a geographic region (Greece). The second is a cultural label (Greek) referring to the culture/language of the Greeks; it is related to but not identical with the place. They are distinct entity types (place vs culture) and represent related but different concepts, so they should not be merged."
9,322,Roman people,Roman Empire,0.6980163943673796,0.6666666666666667,False,0.9,"The two entities refer to different concepts: one denotes the Roman people (the citizen body/people of Rome), a social/political collective; the other denotes the Roman Empire, a territorial/political state. They are related but not identical and should not be merged."
9,322,Roman people,Latin peoples,0.6333035546649833,0.6153846153846154,False,0.9,'Roman people' (the people/citizen assemblies of Rome) refers specifically to the citizen body of Rome. 'Latin peoples' are the various Latin-speaking communities (Latins) who challenged Etruscan power and then went their own ways; they are a distinct set of peoples and an ethnolinguistic group that predate and are related to early Romans but are not identical to the Roman people. These are related but not the same entity.
11,322,consuls,consul,0.5945018842671943,0.8571428571428572,True,0.88,"Both mentions refer to the Roman consul/magistracy. Entity 1 describes the pair of consuls (collective office-holders) instituted at the end of the sixth century BC with one-year terms and rule through the Senate; Entity 2 describes the consul as the highest magistracy held by nobles. They are the same historical institution (the consulship), with one phrasing emphasizing the office as held by two people and the other emphasizing the office as the highest magistracy. Differences are a matter of framing, not distinct entities."
12,323,Roman society,Roman Senate,0.7266575148699138,0.6153846153846154,False,0.96,"The two entities refer to different concepts: 'Roman society' denotes the broader social body and way of life in Rome (a population/collective of people and their social structure), whereas the 'Roman Senate' is a specific political institution/organization within Roman society. They are related (the Senate is part of Roman society) but not identical."
13,323,Roman census,Roman Senate,0.5641066985667312,0.6666666666666667,False,0.88,"The two entities refer to different things: one is an event/procedure (the Roman census), the other is an institutional body (the Roman Senate). They are related (the Senate was involved in governance that used census data) but not identical."
13,323,early republic,Roman republic,0.7680342657356656,0.6428571428571428,True,0.76,"Both names refer to the same political entity — the Roman Republic. ""Early republic"" is a temporal subset of the Roman Republic, but in extraction context both are labeled as the same collective_entity/state and the descriptions point to the Roman Republic. They are not distinct entities like 'early period' vs 'the whole republic' for KG unique-ness; they should be merged as the canonical political entity 'Roman Republic'."
